label,auc
No Finding,0.8452090729986558
Cardiomegaly,0.7649654539493358
Lung Lesion,0.7527424603263957
Edema,0.8684615292941433
Consolidation,0.7935677298462305
Pneumonia,0.6912740575033384
Atelectasis,0.7587457919870219
Pneumothorax,0.8142037576110459
