label,auc
No Finding,0.25624887953184605
Cardiomegaly,0.6798108037456747
Lung Lesion,0.6561084229218622
Edema,0.8097921491804081
Consolidation,0.7691770292491786
Pneumonia,0.673970844398213
Atelectasis,0.5810145004567887
Pneumothorax,0.7675365101967957
