label,auc
No Finding,0.7568518600098129
Cardiomegaly,0.8645678376873296
Lung Lesion,0.7291058490268743
Atelectasis,0.785047549671226
Pneumothorax,0.846405094628994
Pneumonia,0.7287181051360632
Edema,0.85839590027116
Consolidation,0.7770755447552642
